panglao_ontology	panglao_annotation	original_panglao_name	blueprint_ontology	blueprint_annotation_cl	consensus_ontology	consensus_annotation
CL:0000813	memory T cell	T memory cells	CL:0000815	regulatory T cell	CL:0002419	mature T cell
CL:0000815	regulatory T cell	T regulatory cells	CL:0000815	regulatory T cell	CL:0000815	regulatory T cell
CL:0000084	T cell	T cells	CL:0000904	central memory CD4-positive, alpha-beta T cell	CL:0000084	T cell
CL:0002038	T follicular helper cell	T follicular helper cells	CL:0000904	central memory CD4-positive, alpha-beta T cell	CL:0000624	CD4-positive, alpha-beta T cell
CL:0000893	thymocyte	Thymocytes	CL:0000904	central memory CD4-positive, alpha-beta T cell	CL:0000084	T cell
CL:0000798	gamma-delta T cell	Gamma delta T cells	CL:0000904	central memory CD4-positive, alpha-beta T cell	CL:0000084	T cell
CL:0000814	mature NK T cell	Natural killer T cells	CL:0000904	central memory CD4-positive, alpha-beta T cell	CL:0000791	mature alpha-beta T cell
CL:0000898	naive T cell	T cells naive	CL:0000904	central memory CD4-positive, alpha-beta T cell	CL:0002419	mature T cell
CL:0000910	cytotoxic T cell	T cytotoxic cells	CL:0000904	central memory CD4-positive, alpha-beta T cell	CL:0002419	mature T cell
CL:0000912	helper T cell	T helper cells	CL:0000904	central memory CD4-positive, alpha-beta T cell	CL:0002419	mature T cell
CL:0000813	memory T cell	T memory cells	CL:0000904	central memory CD4-positive, alpha-beta T cell	CL:0000813	memory T cell
CL:0000815	regulatory T cell	T regulatory cells	CL:0000904	central memory CD4-positive, alpha-beta T cell	CL:0002419	mature T cell
CL:0000084	T cell	T cells	CL:0000905	effector memory CD4-positive, alpha-beta T cell	CL:0000084	T cell
CL:0002038	T follicular helper cell	T follicular helper cells	CL:0000905	effector memory CD4-positive, alpha-beta T cell	CL:0000624	CD4-positive, alpha-beta T cell
CL:0000893	thymocyte	Thymocytes	CL:0000905	effector memory CD4-positive, alpha-beta T cell	CL:0000084	T cell
CL:0000798	gamma-delta T cell	Gamma delta T cells	CL:0000905	effector memory CD4-positive, alpha-beta T cell	CL:0000084	T cell
CL:0000814	mature NK T cell	Natural killer T cells	CL:0000905	effector memory CD4-positive, alpha-beta T cell	CL:0000791	mature alpha-beta T cell
CL:0000898	naive T cell	T cells naive	CL:0000905	effector memory CD4-positive, alpha-beta T cell	CL:0002419	mature T cell
CL:0000910	cytotoxic T cell	T cytotoxic cells	CL:0000905	effector memory CD4-positive, alpha-beta T cell	CL:0002419	mature T cell
CL:0000912	helper T cell	T helper cells	CL:0000905	effector memory CD4-positive, alpha-beta T cell	CL:0002419	mature T cell
CL:0000813	memory T cell	T memory cells	CL:0000905	effector memory CD4-positive, alpha-beta T cell	CL:0000813	memory T cell
CL:0000815	regulatory T cell	T regulatory cells	CL:0000905	effector memory CD4-positive, alpha-beta T cell	CL:0002419	mature T cell
CL:0000084	T cell	T cells	CL:0000907	central memory CD8-positive, alpha-beta T cell	CL:0000084	T cell
CL:0002038	T follicular helper cell	T follicular helper cells	CL:0000907	central memory CD8-positive, alpha-beta T cell	CL:0000791	mature alpha-beta T cell
CL:0000893	thymocyte	Thymocytes	CL:0000907	central memory CD8-positive, alpha-beta T cell	CL:0000084	T cell
CL:0000798	gamma-delta T cell	Gamma delta T cells	CL:0000907	central memory CD8-positive, alpha-beta T cell	CL:0000084	T cell
CL:0000814	mature NK T cell	Natural killer T cells	CL:0000907	central memory CD8-positive, alpha-beta T cell	CL:0000791	mature alpha-beta T cell
CL:0000898	naive T cell	T cells naive	CL:0000907	central memory CD8-positive, alpha-beta T cell	CL:0002419	mature T cell
CL:0000910	cytotoxic T cell	T cytotoxic cells	CL:0000907	central memory CD8-positive, alpha-beta T cell	CL:0002419	mature T cell
CL:0000912	helper T cell	T helper cells	CL:0000907	central memory CD8-positive, alpha-beta T cell	CL:0002419	mature T cell
CL:0000813	memory T cell	T memory cells	CL:0000907	central memory CD8-positive, alpha-beta T cell	CL:0000813	memory T cell
CL:0000815	regulatory T cell	T regulatory cells	CL:0000907	central memory CD8-positive, alpha-beta T cell	CL:0002419	mature T cell
CL:0000084	T cell	T cells	CL:0000913	effector memory CD8-positive, alpha-beta T cell	CL:0000084	T cell
CL:0002038	T follicular helper cell	T follicular helper cells	CL:0000913	effector memory CD8-positive, alpha-beta T cell	CL:0000791	mature alpha-beta T cell
CL:0000893	thymocyte	Thymocytes	CL:0000913	effector memory CD8-positive, alpha-beta T cell	CL:0000084	T cell
CL:0000798	gamma-delta T cell	Gamma delta T cells	CL:0000913	effector memory CD8-positive, alpha-beta T cell	CL:0000084	T cell
CL:0000814	mature NK T cell	Natural killer T cells	CL:0000913	effector memory CD8-positive, alpha-beta T cell	CL:0000791	mature alpha-beta T cell
CL:0000898	naive T cell	T cells naive	CL:0000913	effector memory CD8-positive, alpha-beta T cell	CL:0002419	mature T cell
CL:0000910	cytotoxic T cell	T cytotoxic cells	CL:0000913	effector memory CD8-positive, alpha-beta T cell	CL:0002419	mature T cell
CL:0000912	helper T cell	T helper cells	CL:0000913	effector memory CD8-positive, alpha-beta T cell	CL:0002419	mature T cell
CL:0000813	memory T cell	T memory cells	CL:0000913	effector memory CD8-positive, alpha-beta T cell	CL:0000813	memory T cell
CL:0000815	regulatory T cell	T regulatory cells	CL:0000913	effector memory CD8-positive, alpha-beta T cell	CL:0002419	mature T cell
CL:0000623	natural killer cell	NK cells	CL:0000623	natural killer cell	CL:0000623	natural killer cell
CL:0001069	group 2 innate lymphoid cell	Nuocytes	CL:0000623	natural killer cell	CL:0001065	innate lymphoid cell
CL:0000236	B cell	B cells	CL:0000788	naive B cell	CL:0000236	B cell
CL:0000786	plasma cell	Plasma cells	CL:0000788	naive B cell	CL:0000945	lymphocyte of B lineage
CL:0000787	memory B cell	B cells memory	CL:0000788	naive B cell	CL:0000785	mature B cell
CL:0000788	naive B cell	B cells naive	CL:0000788	naive B cell	CL:0000788	naive B cell
CL:0000236	B cell	B cells	CL:0000787	memory B cell	CL:0000236	B cell
CL:0000786	plasma cell	Plasma cells	CL:0000787	memory B cell	CL:0000945	lymphocyte of B lineage
CL:0000787	memory B cell	B cells memory	CL:0000787	memory B cell	CL:0000787	memory B cell
CL:0000788	naive B cell	B cells naive	CL:0000787	memory B cell	CL:0000785	mature B cell
CL:0000236	B cell	B cells	CL:0000972	class switched memory B cell	CL:0000236	B cell
CL:0000786	plasma cell	Plasma cells	CL:0000972	class switched memory B cell	CL:0000945	lymphocyte of B lineage
CL:0000787	memory B cell	B cells memory	CL:0000972	class switched memory B cell	CL:0000787	memory B cell
CL:0000788	naive B cell	B cells naive	CL:0000972	class switched memory B cell	CL:0000785	mature B cell
CL:0000646	basal cell	Basal cells	CL:0000037	hematopoietic stem cell	CL:0000723	somatic stem cell
CL:0002322	embryonic stem cell	Embryonic stem cells	CL:0000037	hematopoietic stem cell	CL:0000034	stem cell
CL:0000352	epiblast cell	Epiblast cells	CL:0000037	hematopoietic stem cell	CL:0000723	somatic stem cell
CL:0000037	hematopoietic stem cell	Hematopoietic stem cells	CL:0000037	hematopoietic stem cell	CL:0000037	hematopoietic stem cell
CL:0005026	hepatoblast	Hepatoblasts	CL:0000037	hematopoietic stem cell	CL:0000034	stem cell
CL:0002248	pluripotent stem cell	Pluripotent stem cells	CL:0000037	hematopoietic stem cell	CL:0000723	somatic stem cell
CL:0002672	retinal progenitor cell	Retinal progenitor cells	CL:0000037	hematopoietic stem cell	CL:0000034	stem cell
CL:0002664	cardioblast	Cardiac stem and precursor cells	CL:0000037	hematopoietic stem cell	CL:0000034	stem cell
CL:0002250	intestinal crypt stem cell	Crypt cells	CL:0000037	hematopoietic stem cell	CL:0000034	stem cell
CL:0000038	erythroid progenitor cell	Erythroid-like and erythroid precursor cells	CL:0000037	hematopoietic stem cell	CL:0008001	hematopoietic precursor cell
CL:0000324	metanephric mesenchyme stem cell	Kidney progenitor cells	CL:0000037	hematopoietic stem cell	CL:0000034	stem cell
CL:0000037	hematopoietic stem cell	Hematopoietic stem cells	CL:0000837	hematopoietic multipotent progenitor cell	CL:0008001	hematopoietic precursor cell
CL:0000038	erythroid progenitor cell	Erythroid-like and erythroid precursor cells	CL:0000837	hematopoietic multipotent progenitor cell	CL:0008001	hematopoietic precursor cell
CL:0000037	hematopoietic stem cell	Hematopoietic stem cells	CL:0000051	common lymphoid progenitor	CL:0008001	hematopoietic precursor cell
CL:0000038	erythroid progenitor cell	Erythroid-like and erythroid precursor cells	CL:0000051	common lymphoid progenitor	CL:0008001	hematopoietic precursor cell
CL:0000037	hematopoietic stem cell	Hematopoietic stem cells	CL:0000557	granulocyte monocyte progenitor cell	CL:0008001	hematopoietic precursor cell
CL:0000038	erythroid progenitor cell	Erythroid-like and erythroid precursor cells	CL:0000557	granulocyte monocyte progenitor cell	CL:0008001	hematopoietic precursor cell
CL:0000583	alveolar macrophage	Alveolar macrophages	CL:0000235	macrophage	CL:0000235	macrophage
CL:0000767	basophil	Basophils	CL:0000235	macrophage	CL:0000766	myeloid leukocyte
CL:0000771	eosinophil	Eosinophils	CL:0000235	macrophage	CL:0000766	myeloid leukocyte
CL:0000235	macrophage	Macrophages	CL:0000235	macrophage	CL:0000235	macrophage
CL:0000097	mast cell	Mast cells	CL:0000235	macrophage	CL:0000766	myeloid leukocyte
CL:0000775	neutrophil	Neutrophils	CL:0000235	macrophage	CL:0000766	myeloid leukocyte
CL:0000091	Kupffer cell	Kupffer cells	CL:0000235	macrophage	CL:0000235	macrophage
CL:0000129	microglial cell	Microglia	CL:0000235	macrophage	CL:0000235	macrophage
CL:0000889	myeloid suppressor cell	Myeloid-derived suppressor cells	CL:0000235	macrophage	CL:0000766	myeloid leukocyte
CL:0000874	splenic red pulp macrophage	Red pulp macrophages	CL:0000235	macrophage	CL:0000235	macrophage
CL:0000084	T cell	T cells	CL:0000625	CD8-positive, alpha-beta T cell	CL:0000084	T cell
CL:0002038	T follicular helper cell	T follicular helper cells	CL:0000625	CD8-positive, alpha-beta T cell	CL:0000791	mature alpha-beta T cell
CL:0000893	thymocyte	Thymocytes	CL:0000625	CD8-positive, alpha-beta T cell	CL:0000084	T cell
CL:0000798	gamma-delta T cell	Gamma delta T cells	CL:0000625	CD8-positive, alpha-beta T cell	CL:0000084	T cell
CL:0000814	mature NK T cell	Natural killer T cells	CL:0000625	CD8-positive, alpha-beta T cell	CL:0000791	mature alpha-beta T cell
CL:0000898	naive T cell	T cells naive	CL:0000625	CD8-positive, alpha-beta T cell	CL:0002419	mature T cell
CL:0000910	cytotoxic T cell	T cytotoxic cells	CL:0000625	CD8-positive, alpha-beta T cell	CL:0002419	mature T cell
CL:0000912	helper T cell	T helper cells	CL:0000625	CD8-positive, alpha-beta T cell	CL:0002419	mature T cell
CL:0000813	memory T cell	T memory cells	CL:0000625	CD8-positive, alpha-beta T cell	CL:0002419	mature T cell
CL:0000815	regulatory T cell	T regulatory cells	CL:0000625	CD8-positive, alpha-beta T cell	CL:0002419	mature T cell
CL:0000765	erythroblast	Erythroblasts	CL:0000232	erythrocyte	CL:0000764	erythroid lineage cell
CL:0000558	reticulocyte	Reticulocytes	CL:0000232	erythrocyte	CL:0000764	erythroid lineage cell
CL:0000038	erythroid progenitor cell	Erythroid-like and erythroid precursor cells	CL:0000232	erythrocyte	CL:0000764	erythroid lineage cell
CL:0000556	megakaryocyte	Megakaryocytes	CL:0000556	megakaryocyte	CL:0000556	megakaryocyte
CL:0000037	hematopoietic stem cell	Hematopoietic stem cells	CL:0000049	common myeloid progenitor	CL:0008001	hematopoietic precursor cell
CL:0000038	erythroid progenitor cell	Erythroid-like and erythroid precursor cells	CL:0000049	common myeloid progenitor	CL:0008001	hematopoietic precursor cell
CL:0000583	alveolar macrophage	Alveolar macrophages	CL:0000863	inflammatory macrophage	CL:0000235	macrophage
CL:0000767	basophil	Basophils	CL:0000863	inflammatory macrophage	CL:0000766	myeloid leukocyte
CL:0000771	eosinophil	Eosinophils	CL:0000863	inflammatory macrophage	CL:0000766	myeloid leukocyte
CL:0000235	macrophage	Macrophages	CL:0000863	inflammatory macrophage	CL:0000235	macrophage
CL:0000097	mast cell	Mast cells	CL:0000863	inflammatory macrophage	CL:0000766	myeloid leukocyte
CL:0000775	neutrophil	Neutrophils	CL:0000863	inflammatory macrophage	CL:0000766	myeloid leukocyte
CL:0000091	Kupffer cell	Kupffer cells	CL:0000863	inflammatory macrophage	CL:0000235	macrophage
CL:0000129	microglial cell	Microglia	CL:0000863	inflammatory macrophage	CL:0000235	macrophage
CL:0000889	myeloid suppressor cell	Myeloid-derived suppressor cells	CL:0000863	inflammatory macrophage	CL:0000766	myeloid leukocyte
CL:0000874	splenic red pulp macrophage	Red pulp macrophages	CL:0000863	inflammatory macrophage	CL:0000235	macrophage
CL:0000583	alveolar macrophage	Alveolar macrophages	CL:0000890	alternatively activated macrophage	CL:0000235	macrophage
CL:0000767	basophil	Basophils	CL:0000890	alternatively activated macrophage	CL:0000766	myeloid leukocyte
CL:0000771	eosinophil	Eosinophils	CL:0000890	alternatively activated macrophage	CL:0000766	myeloid leukocyte
CL:0000235	macrophage	Macrophages	CL:0000890	alternatively activated macrophage	CL:0000235	macrophage
CL:0000097	mast cell	Mast cells	CL:0000890	alternatively activated macrophage	CL:0000766	myeloid leukocyte
CL:0000775	neutrophil	Neutrophils	CL:0000890	alternatively activated macrophage	CL:0000766	myeloid leukocyte
CL:0000091	Kupffer cell	Kupffer cells	CL:0000890	alternatively activated macrophage	CL:0000235	macrophage
CL:0000129	microglial cell	Microglia	CL:0000890	alternatively activated macrophage	CL:0000235	macrophage
CL:0000889	myeloid suppressor cell	Myeloid-derived suppressor cells	CL:0000890	alternatively activated macrophage	CL:0000766	myeloid leukocyte
CL:0000874	splenic red pulp macrophage	Red pulp macrophages	CL:0000890	alternatively activated macrophage	CL:0000235	macrophage
CL:0000115	endothelial cell	Endothelial cells	CL:0000115	endothelial cell	CL:0000115	endothelial cell
CL:0002544	aortic endothelial cell	Endothelial cells (aorta)	CL:0000115	endothelial cell	CL:0000115	endothelial cell
CL:2000044	brain microvascular endothelial cell	Endothelial cells (blood brain barrier)	CL:0000115	endothelial cell	CL:0000115	endothelial cell
CL:0000451	dendritic cell	Dendritic cells	CL:0000451	dendritic cell	CL:0000451	dendritic cell
CL:0000576	monocyte	Monocytes	CL:0000451	dendritic cell	CL:0000113	mononuclear phagocyte
CL:0000576	monocyte	Osteoclast precursor cells	CL:0000451	dendritic cell	CL:0000113	mononuclear phagocyte
CL:0000784	plasmacytoid dendritic cell	Plasmacytoid dendritic cells	CL:0000451	dendritic cell	CL:0000451	dendritic cell
CL:0000453	Langerhans cell	Langerhans cells	CL:0000451	dendritic cell	CL:0000451	dendritic cell
CL:0000583	alveolar macrophage	Alveolar macrophages	CL:0000771	eosinophil	CL:0000766	myeloid leukocyte
CL:0000767	basophil	Basophils	CL:0000771	eosinophil	CL:0000094	granulocyte
CL:0000771	eosinophil	Eosinophils	CL:0000771	eosinophil	CL:0000771	eosinophil
CL:0000235	macrophage	Macrophages	CL:0000771	eosinophil	CL:0000766	myeloid leukocyte
CL:0000097	mast cell	Mast cells	CL:0000771	eosinophil	CL:0000766	myeloid leukocyte
CL:0000576	monocyte	Monocytes	CL:0000771	eosinophil	CL:0000766	myeloid leukocyte
CL:0000576	monocyte	Osteoclast precursor cells	CL:0000771	eosinophil	CL:0000766	myeloid leukocyte
CL:0000775	neutrophil	Neutrophils	CL:0000771	eosinophil	CL:0000094	granulocyte
CL:0000092	osteoclast	Osteoclasts	CL:0000771	eosinophil	CL:0000766	myeloid leukocyte
CL:0000091	Kupffer cell	Kupffer cells	CL:0000771	eosinophil	CL:0000766	myeloid leukocyte
CL:0000453	Langerhans cell	Langerhans cells	CL:0000771	eosinophil	CL:0000766	myeloid leukocyte
CL:0000129	microglial cell	Microglia	CL:0000771	eosinophil	CL:0000766	myeloid leukocyte
CL:0000889	myeloid suppressor cell	Myeloid-derived suppressor cells	CL:0000771	eosinophil	CL:0000766	myeloid leukocyte
CL:0000874	splenic red pulp macrophage	Red pulp macrophages	CL:0000771	eosinophil	CL:0000766	myeloid leukocyte
CL:0000236	B cell	B cells	CL:0000786	plasma cell	CL:0000945	lymphocyte of B lineage
CL:0000786	plasma cell	Plasma cells	CL:0000786	plasma cell	CL:0000786	plasma cell
CL:0000787	memory B cell	B cells memory	CL:0000786	plasma cell	CL:0000945	lymphocyte of B lineage
CL:0000788	naive B cell	B cells naive	CL:0000786	plasma cell	CL:0000945	lymphocyte of B lineage
CL:0000138	chondrocyte	Chondrocytes	CL:0000138	chondrocyte	CL:0000138	chondrocyte
CL:2000002	decidual cell	Decidual cells	CL:0000138	chondrocyte	CL:0000499	stromal cell
CL:0000632	hepatic stellate cell	Hepatic stellate cells	CL:0000138	chondrocyte	CL:0000327	extracellular matrix secreting cell
CL:0000499	stromal cell	Stromal cells	CL:0000138	chondrocyte	CL:0000499	stromal cell
CL:0000708	leptomeningeal cell	Meningeal cells	CL:0000138	chondrocyte	CL:0000327	extracellular matrix secreting cell
CL:0000057	fibroblast	Fibroblasts	CL:0000057	fibroblast	CL:0000057	fibroblast
CL:0000632	hepatic stellate cell	Hepatic stellate cells	CL:0000057	fibroblast	CL:0000057	fibroblast
CL:0002410	pancreatic stellate cell	Pancreatic stellate cells	CL:0000057	fibroblast	CL:0000057	fibroblast
CL:0002334	preadipocyte	Adipocyte progenitor cells	CL:0000057	fibroblast	CL:0000057	fibroblast
CL:0000192	smooth muscle cell	Smooth muscle cells	CL:0000192	smooth muscle cell	CL:0000192	smooth muscle cell
CL:0019019	tracheobronchial smooth muscle cell	Airway smooth muscle cells	CL:0000192	smooth muscle cell	CL:0000192	smooth muscle cell
CL:0000746	cardiac muscle cell	Cardiomyocytes	CL:0000192	smooth muscle cell	CL:0000187	muscle cell
CL:0000746	cardiac muscle cell	Myocytes	CL:0000192	smooth muscle cell	CL:0000187	muscle cell
CL:0000359	vascular associated smooth muscle cell	Pulmonary vascular smooth muscle cells	CL:0000192	smooth muscle cell	CL:0000192	smooth muscle cell
CL:0000359	vascular associated smooth muscle cell	Vascular smooth muscle cells	CL:0000192	smooth muscle cell	CL:0000192	smooth muscle cell
CL:0002068	Purkinje myocyte	Purkinje fiber cells	CL:0000192	smooth muscle cell	CL:0000187	muscle cell
CL:0000622	acinar cell	Acinar cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:1000488	cholangiocyte	Cholangiocytes	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0000166	chromaffin cell	Chromaffin cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0000584	enterocyte	Enterocytes	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0000164	enteroendocrine cell	Enteroendocrine cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0000065	ependymal cell	Ependymal cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0000066	epithelial cell	Epithelial cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0000160	goblet cell	Goblet cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0000501	granulosa cell	Granulosa cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0000182	hepatocyte	Hepatocytes	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0005006	ionocyte	Ionocytes	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0000312	keratinocyte	Keratinocytes	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0000077	mesothelial cell	Mesothelial cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0000185	myoepithelial cell	Myoepithelial cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0000165	neuroendocrine cell	Neuroendocrine cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0002167	olfactory epithelial cell	Olfactory epithelial cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0000510	paneth cell	Paneth cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0000162	parietal cell	Parietal cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0002481	peritubular myoid cell	Peritubular myoid cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0000652	pinealocyte	Pinealocytes	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0000653	podocyte	Podocytes	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0000209	taste receptor cell	Taste receptor cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0000731	urothelial cell	Urothelial cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0002368	respiratory epithelial cell	Airway epithelial cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0002370	respiratory goblet cell	Airway goblet cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0000171	pancreatic A cell	Alpha cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0000169	type B pancreatic cell	Beta cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0000706	choroid plexus epithelial cell	Choroid plexus cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0000158	club cell	Clara cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0002250	intestinal crypt stem cell	Crypt cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0000173	pancreatic D cell	Delta cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0002305	epithelial cell of distal tubule	Distal tubule cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0002079	pancreatic ductal cell	Ductal cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0000504	enterochromaffin-like cell	Enterochromaffin cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0005019	pancreatic epsilon cell	Epsilon cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0002258	thyroid follicular cell	Follicular cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0002179	foveolar cell of stomach	Foveolar cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0000696	PP cell	Gamma (PP) cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0000155	peptic cell	Gastric chief cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0002292	type I cell of carotid body	Glomus cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0005010	renal intercalated cell	Intercalated cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:1000909	kidney loop of Henle epithelial cell	Loop of Henle cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0002326	luminal epithelial cell of mammary gland	Luminal epithelial cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0002327	mammary gland epithelial cell	Mammary epithelial cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0000242	Merkel cell	Merkel cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
